Sub,Exper,Cond,NumSes,TrlsPerSes,TrngSpan,TtlTrls,PkNumDiffLstSes,ExtPkNumDiff,TrlsToExt,d7PkNumDiff,d21PkNumDiff,PkDurDiffLstSes,ExtPkDurDiff,d7PkDurDiff,d21PkDurDiff,AcqTrl
58,3,8_40_8_320,8,40,8,320,8.3,77,36,9,9,2.00600000000009,18.6199999999996,4.14000000000001,4.96000000000001,24
59,4,28_2o3_28_70,28,2.5,28,70,0,65,49,2,18,0,27.2599999999963,4.30000000000018,9.45999999999984,41
60,4,28_2o3_28_70,28,2.5,28,70,0,17,30,10,12,0,5.10000000000068,2.78000000000007,4.84000000000009,33
61,4,28_2o3_28_70,28,2.5,28,70,-3.5,33,49,1,12,-0.709999999999923,0.260000000000446,-0.800000000000011,2.02000000000004,40
62,4,28_2o3_28_70,28,2.5,28,70,3.5,31,35,4,8,1.46000000000007,11.0799999999959,1.89999999999998,2.53999999999996,17
63,4,28_2o3_28_70,28,2.5,28,70,0,25,53,1,12,0.0499999999999901,-3.11999999999853,0.280000000000001,4.89999999999998,36
64,4,28_2o3_28_70,28,2.5,28,70,-2,29,38,9,17,-0.159999999999968,12.299999999998,1.48,3.9999999999998,35
77,4,7_40_7_280,7,40,7,280,6.475,66,64,0,3,2.2920000000001,36.1400000000012,0,-0.0999999999998806,53
78,4,7_40_7_280,7,40,7,280,2.65,14,35,-1,10,0.857999999999923,6.95999999999788,-0.140000000000001,4.35999999999996,50
79,4,7_40_7_280,7,40,7,280,5.15,39,42,1,11,1.49649999999982,11.2600000000002,-1.21999999999987,7.45999999999992,62
80,4,7_40_7_280,7,40,7,280,6.325,35,41,5,8,2.38449999999995,11.8599999999997,1.8599999999999,3.21999999999997,71
81,4,7_40_7_280,7,40,7,280,7.1,42,39,6,7,2.18950000000001,14.1599999999997,3.72,3.53999999999994,69
82,4,7_40_7_280,7,40,7,280,1.725,2,30,4,6,0.335499999999982,-2.07999999999873,4.44,5.30000000000001,54
